b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.0,35.14796940312666,-2.22291555,2.08246237,0.97194331,0.02805669
2.0,35.55555555555556,-2.51930549,1.99429991,0.96997626,0.03002374
2.0,36.666666666666664,-3.40842693,1.81122802,0.96465098,0.03534902
2.0,37.77777777777778,-4.42243189,1.67890363,0.95924036,0.04075964
2.0,38.888888888888886,-5.5538983,1.57808005,0.9538098,0.0461902
2.0,40.0,-6.79097518,1.49913145,0.94844992,0.05155008
2.0555555555555554,30.12786827098816,-0.25119517,4.82007558,0.99122281,0.00877719
2.0555555555555554,31.23897938209927,-0.61168559,3.39192428,0.98611706,0.01388294
2.0555555555555554,32.35009049321038,-1.11134846,2.68701809,0.98098516,0.01901484
2.0555555555555554,33.461201604321495,-1.74834714,2.27238556,0.97577678,0.02422322
2.0555555555555554,34.14772401352884,-2.21105641,2.09106559,0.97248801,0.02751199
2.0555555555555554,34.165618487184226,-2.22148687,2.0916584,0.9724281,0.0275719
2.0555555555555554,34.5723127154326,-2.51817369,2.00581542,0.97050065,0.02949935
2.0555555555555554,35.68342382654372,-3.41980198,1.82151677,0.96514209,0.03485791
